E_Scan -1.3405747965200E+03 -4.2820102111640E+02  Phi  -180.0
E_Scan -1.3405775171900E+03 -4.2889072575163E+02  Phi  -40.0
Coordinate
   -3.206645    -2.529392    -0.031768
   -5.405365    -2.958438     0.594069
   -0.959021     3.501720    -0.176513
    1.038217     2.445890    -0.162483
    5.159339    -1.406512    -0.218122
   -0.871062     1.140157    -0.035870
   -0.972995    -1.852871    -0.730357
   -2.332803    -1.480079    -0.220297
   -4.350321    -2.125045     0.375836
   -2.818744    -0.248244     0.067217
   -2.196975     1.078468    -0.015086
   -2.967834     2.237401    -0.068008
   -2.269691     3.426331    -0.147027
   -0.313875     2.335829    -0.121189
    2.030333     1.442157    -0.166995
    1.962147     0.292349     0.605322
    2.988038    -0.634101     0.590963
    4.138219    -0.452057    -0.184062
    5.197623    -2.395703     0.836768
    6.442956    -1.005008    -0.749987
    4.204857     0.722397    -0.937934
    3.166425     1.635409    -0.935852
   -4.501558    -0.409423     0.577899
   -0.433066    -1.007461    -1.119591
   -1.087775    -2.611742    -1.495323
   -0.389142    -2.287847     0.075376
   -6.091678    -2.675690     1.257389
   -5.154894    -3.922707     0.641025
    1.348087     3.383987    -0.278295
   -4.039120     2.223939    -0.072395
   -2.798050     4.363382    -0.195373
    1.104124     0.113128     1.220683
    2.878387    -1.503652     1.207431
    6.044141    -3.048504     0.676409
    4.310003    -3.015305     0.816526
    5.286802    -1.957289     1.831392
    7.122617    -1.844116    -0.701155
    6.889245    -0.170872    -0.207059
    6.357497    -0.725369    -1.792537
    5.059317     0.937245    -1.547540
    3.249269     2.517790    -1.547058
E_Scan -1.3405770438900E+03 -4.2892891740508E+02  Phi  -30.0
Coordinate
   -3.290997    -2.524185     0.057645
   -5.486432    -2.898882     0.728175
   -0.950092     3.465226    -0.267312
    1.034941     2.395520    -0.240492
    5.243287    -1.364216    -0.249339
   -0.888216     1.108465    -0.052579
   -1.061294    -1.904928    -0.699206
   -2.400619    -1.495581    -0.164195
   -4.419533    -2.090484     0.477021
   -2.856020    -0.249774     0.112357
   -2.215402     1.065201    -0.011768
   -2.971773     2.231417    -0.088060
   -2.260156     3.408470    -0.216598
   -0.317154     2.293728    -0.179024
    2.042063     1.410216    -0.224691
    1.934194     0.189408     0.423946
    2.985591    -0.710212     0.420388
    4.196231    -0.435727    -0.220730
    5.208723    -2.448930     0.707020
    6.561298    -0.882297    -0.599518
    4.298713     0.807221    -0.851185
    3.241643     1.696652    -0.859684
   -4.534049    -0.368948     0.650387
   -0.503238    -1.073631    -1.093214
   -1.211656    -2.654117    -1.467682
   -0.478916    -2.365637     0.093301
   -6.155697    -2.591106     1.397744
   -5.254230    -3.867024     0.787735
    1.339207     3.332090    -0.381262
   -4.043026     2.231869    -0.077472
   -2.777485     4.350043    -0.289612
    1.030647    -0.065668     0.936568
    2.842193    -1.636393     0.939957
    6.082183    -3.070115     0.566200
