E_Scan -1.3405774503200E+03 -4.3022483039740E+02  Phi  -180.0
   -3.188527    -2.549199    -0.468195
   -2.658162    -0.264071     0.165305
   -2.086954     1.088558     0.250456
   -2.879036     2.227922     0.322806
   -2.195547     3.426969     0.418828
   -0.221716     2.368485     0.321986
    2.078466     1.439342     0.171657
    2.174334     0.405895     1.090181
    3.138936    -0.572859     0.963870
    4.069047    -0.551614    -0.084171
    5.304604    -2.401725     0.914442
    6.136425    -1.317062    -1.123702
    3.978385     0.509254    -0.989437
    2.991394     1.471885    -0.865860
   -1.918612    -1.448681    -0.901233
   -4.238748     0.715007     2.191374
   -4.842947    -0.899072     2.554759
   -5.617138     0.057876     1.313321
   -2.818284    -3.977911    -1.858587
   -4.091934    -4.287238    -0.813724
    1.457988     3.420443     0.329522
   -3.947962     2.189835     0.278922
   -2.735529     4.356438     0.484866
    1.481289     0.360097     1.908749
    3.161531    -1.352309     1.698392
    6.075636    -3.110533     0.647393
    4.428460    -2.973849     1.192271
    5.640890    -1.843645     1.788626
    6.783429    -2.182873    -1.121850
    6.730756    -0.445269    -0.847899
    5.786697    -1.182565    -2.139626
    4.664687     0.594059    -1.807655
    2.938750     2.264412    -1.591899
E_Scan -1.3405779150900E+03 -4.2081857165015E+02  Phi  -30.0
Coordinate
   -4.032429    -2.094577     0.356182
   -3.033709    -3.863400    -0.775098
   -0.867192     3.531716     0.502977
    1.139942     2.483631     0.351928
    5.008542    -1.570021    -0.277910
   -0.760259     1.177286     0.301450
   -4.842077    -0.121706     1.549721
   -3.799445    -0.779705     0.692728
   -3.070311    -2.569478    -0.347155
   -2.646340    -0.248397     0.229805
   -2.084082     1.103461     0.325253
   -2.868965     2.248347     0.415647
   -2.177692     3.442148     0.510616
   -0.210849     2.377298     0.379115
    2.081847     1.437301     0.187349
    2.185254     0.395623     1.095768
    3.142299    -0.587510     0.947203
    4.057185    -0.562663    -0.114011
    5.296470    -2.427809     0.851306
    6.106688    -1.329051    -1.187590
    3.959420     0.506244    -1.008958
    2.979865     1.473366    -0.863031
   -1.760000    -1.478542    -0.660058
   -4.451312     0.729117     2.089487
   -5.217352    -0.847550     2.260108
   -5.682504     0.207034     0.944689
   -2.510547    -4.063921    -1.597900
   -3.910559    -4.334476    -0.715456
    1.474345     3.420394     0.367431
   -3.937883     2.222498     0.381077
   -2.713283     4.373217     0.589091
    1.504239     0.347065     1.924212
    3.171248    -1.372985     1.675065
    6.059201    -3.139050     0.567378
    4.420971    -2.996902     1.137271
    5.648772    -1.878909     1.725003
    6.749331    -2.197992    -1.202282
    6.708779    -0.462869    -0.910967
    5.744883    -1.183031    -2.197666
    4.634250     0.594124    -1.836352
    2.921217     2.272164    -1.581695
