E_Scan -1.3405778857600E+03 -4.2771280421965E+02  Phi  -180.0
   -0.306793     2.402575    -0.006038
    1.996631     1.468254    -0.069626
    2.081544     0.503065     0.926620
    3.042083    -0.483034     0.878222
    3.984421    -0.537419    -0.158335
    5.544953    -1.964875     1.056701
    5.865832    -1.569909    -1.312269
    3.903295     0.447683    -1.139811
    2.913801     1.420271    -1.099458
   -4.442608    -0.473960     0.452209
   -0.404613    -0.883455    -1.369864
   -0.848575    -2.598211    -1.446446
   -0.172890    -1.908304     0.020108
   -5.960479    -2.827077     0.987120
   -4.963489    -4.007889     0.336237
    1.374221     3.453109    -0.071194
   -4.029100     2.230256    -0.023168
   -2.820592     4.392083     0.018294
    1.378158     0.519215     1.737478
    3.049512    -1.221537     1.655407
    6.204902    -2.802863     0.875048
    4.798573    -2.297506     1.762481
    6.124403    -1.165899     1.521295
    6.445336    -2.483099    -1.278473
    6.560469    -0.727480    -1.306753
    5.325311    -1.562590    -2.249661
    4.601908     0.474211    -1.951795
    2.868714     2.155980    -1.883335
E_Scan -1.3405777995900E+03 -4.2822021399023E+02  Phi  -30.0
Coordinate
   -3.040817    -2.517626    -0.188240
   -5.229894    -3.057844     0.383675
   -0.969671     3.564343    -0.019740
    1.046173     2.526974    -0.043842
    4.949525    -1.541514    -0.234474
   -0.840290     1.199884    -0.014071
   -0.815628    -1.714017    -0.805374
   -2.207443    -1.428431    -0.322065
   -4.206286    -2.174566     0.215470
   -2.750801    -0.228882    -0.001597
   -2.163538     1.113443    -0.010105
   -2.957001     2.259928    -0.007017
   -2.280621     3.462832    -0.009354
   -0.305805     2.409423    -0.028928
    2.000304     1.481743    -0.098662
    2.096462     0.526633     0.904041
    3.060513    -0.457922     0.858702
    3.993526    -0.521371    -0.185989
    5.405656    -2.093624     1.026116
    5.953708    -1.477202    -1.272360
    3.901815     0.457503    -1.176071
    2.911859     1.427206    -1.134742
   -4.430155    -0.475476     0.479759
   -0.401798    -0.889466    -1.362508
   -0.839135    -2.606767    -1.417129
   -0.157589    -1.897331     0.037507
   -5.937232    -2.828275     1.045449
   -4.939992    -4.012012     0.400337
    1.370960     3.465045    -0.107962
   -4.027945     2.225817    -0.022562
   -2.825710     4.391570    -0.007688
    1.402250     0.549856     1.722688
    3.082296    -1.179408     1.650918
    6.179143    -2.823003     0.830111
    4.606115    -2.611608     1.538946
    5.810372    -1.336315     1.697523
    6.561329    -2.370574    -1.228300
    6.612344    -0.611467    -1.184646
    5.487439    -1.454013    -2.248776
    4.591431     0.478195    -1.995575
    2.859355     2.156359    -1.924315
E_Scan -1.3405779075600E+03 -4.2838318671332E+02  Phi  -20.0
Coordinate
   -3.026434    -2.521670    -0.151531
   -5.211254    -3.063892     0.434773
   -0.974448     3.568085    -0.048806
    1.044426     2.536826    -0.073104
    4.960353    -1.516620    -0.257726
   -0.837713     1.204133    -0.021774
   -0.806534    -1.716069    -0.785586
   -2.197376    -1.430899    -0.299168
   -4.191335    -2.178757     0.253888
   -2.743498    -0.230275     0.012266
   -2.160601     1.113839    -0.011234
   -2.957674     2.257773    -0.015132
   -2.284939     3.462667    -0.031439
   -0.306848     2.415114    -0.050306
    2.002106     1.494287    -0.122737
    2.107662     0.549450     0.886685
    3.075449    -0.433483     0.845952
    3.999833    -0.506212    -0.205498
    5.282799    -2.214730     0.968715
    6.038478    -1.384140    -1.212332
    3.899178     0.465705    -1.204238
    2.908757     1.432715    -1.164376
   -4.419879    -0.478027     0.503164
   -0.399235    -0.896518    -1.354822
   -0.828813    -2.616347    -1.386254
   -0.143518    -1.885650     0.056255
   -5.916496    -2.830381     1.097411
   -4.917936    -4.016840     0.459494
    1.365722     3.475723    -0.142576
   -4.028569     2.220246    -0.025543
   -2.832876     4.389733    -0.035769
    1.420811     0.579767     1.711360
    3.107519    -1.140756     1.650161
    6.062909    -2.935458     0.768629
    4.427268    -2.766450     1.337404
    5.627410    -1.548130     1.759445
    6.679216    -2.251813    -1.142463
    6.648112    -0.494505    -1.049708
    5.653128    -1.352624    -2.223614
    4.581081     0.477921    -2.030329
    2.848978     2.154303    -1.960387
E_Scan -1.3405778501100E+03 -4.2861220275780E+02  Phi  -10.0
Coordinate
   -3.014826    -2.525382    -0.113982
   -5.195636    -3.067891     0.486763
   -0.978737     3.570285    -0.078957
    1.042624     2.543991    -0.102628
    4.971808    -1.494323    -0.277276
   -0.835934     1.207047    -0.029944
   -0.799826    -1.719547    -0.765156
   -2.189539    -1.433764    -0.275808
   -4.179017    -2.181748     0.292935
   -2.737756    -0.231679     0.026073
   -2.158475     1.113662    -0.012841
   -2.958522     2.255489    -0.024094
   -2.288873     3.461807    -0.054754
   -0.308131     2.419036    -0.072387
    2.003181     1.503672    -0.146610
    2.116635     0.569424     0.870126
    3.087756    -0.412193     0.834240
    4.003259    -0.494299    -0.223202
    5.169183    -2.329536     0.885626
